route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
66-10493,2019-COMBNXT-Saturday-01,35966926-2019-COMBNXT-Saturday-01,Woden,0,660137,1,1
66-10493,2019-COMBNXT-Saturday-01,35966927-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966928-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966929-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966930-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966931-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966932-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966933-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966934-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966935-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966936-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966937-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966938-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966939-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966940-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966941-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966942-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
66-10493,2019-COMBNXT-Saturday-01,35966943-2019-COMBNXT-Saturday-01,Cooleman Court,1,660138,1,1
70-10493,2019-COMBNXT-Saturday-01,35966944-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966945-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966946-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966947-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966948-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966949-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966950-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966951-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966952-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966953-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966954-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966955-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966956-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966957-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966958-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966959-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966960-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966961-2019-COMBNXT-Saturday-01,Woden,0,700029,1,1
70-10493,2019-COMBNXT-Saturday-01,35966962-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966963-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966964-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966965-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966966-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966967-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966968-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966969-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966970-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966971-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966972-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966973-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966974-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966975-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966976-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966977-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966978-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
70-10493,2019-COMBNXT-Saturday-01,35966979-2019-COMBNXT-Saturday-01,Tuggeranong,1,700018,1,1
71-10493,2019-COMBNXT-Saturday-01,35966980-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966981-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966982-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966983-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966984-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966985-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966986-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966987-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966988-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966989-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966990-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966991-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966992-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966993-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966994-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966995-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966996-2019-COMBNXT-Saturday-01,Woden,0,710110,1,1
71-10493,2019-COMBNXT-Saturday-01,35966997-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35966998-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35966999-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967000-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967001-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967002-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967003-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967004-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967005-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967006-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967007-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967008-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967009-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967010-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
