Arrival Delay,Arrival Time,Arrival Uncertainty,Departure Delay,Departure Time,Departure Uncertainty, Schedule Relationship,Stop ID,Stop Sequence,Trip ID,Request Timestamp,Delay
0,2019-06-03 23:15:00,1,0,2019-06-03 23:15:00,1,SCHEDULED,8100,1,260,2019-06-03 17:02:15,0
62,2019-06-03 07:05:02,0,62,2019-06-03 07:05:02,0,SCHEDULED,8100,5,11,2019-06-03 17:02:15,0
109,2019-06-03 07:37:49,0,109,2019-06-03 07:37:49,0,SCHEDULED,8129,13,143,2019-06-03 17:02:15,0
52,2019-06-03 08:06:52,0,52,2019-06-03 08:06:52,0,SCHEDULED,8100,13,24,2019-06-03 17:02:15,0
103,2019-06-03 08:37:43,0,103,2019-06-03 08:37:43,0,SCHEDULED,8129,13,153,2019-06-03 17:02:15,0
-16,2019-06-03 09:05:44,0,-16,2019-06-03 09:05:44,0,SCHEDULED,8100,13,34,2019-06-03 17:02:15,0
43,2019-06-03 09:19:14,0,43,2019-06-03 09:19:14,0,SCHEDULED,8110,5,163,2019-06-03 17:02:15,0
40,2019-06-03 07:20:40,0,40,2019-06-03 07:20:40,0,SCHEDULED,8100,5,14,2019-06-03 17:02:15,0
1,2019-06-03 07:48:01,0,1,2019-06-03 07:48:01,0,SCHEDULED,8129,13,145,2019-06-03 17:02:15,0
36,2019-06-03 08:18:36,0,36,2019-06-03 08:18:36,0,SCHEDULED,8100,13,26,2019-06-03 17:02:15,0
69,2019-06-03 08:49:09,0,69,2019-06-03 08:49:09,0,SCHEDULED,8129,13,155,2019-06-03 17:02:15,0
40,2019-06-03 09:18:40,0,40,2019-06-03 09:18:40,0,SCHEDULED,8100,13,36,2019-06-03 17:02:15,0
18,2019-06-03 09:28:49,0,18,2019-06-03 09:28:49,0,SCHEDULED,8110,5,166,2019-06-03 17:02:15,0
24,2019-06-03 07:30:24,0,24,2019-06-03 07:30:24,0,SCHEDULED,8100,5,17,2019-06-03 17:02:15,0
52,2019-06-03 08:00:52,0,52,2019-06-03 08:00:52,0,SCHEDULED,8129,13,147,2019-06-03 17:02:15,0
77,2019-06-03 08:31:17,0,77,2019-06-03 08:31:17,0,SCHEDULED,8100,13,28,2019-06-03 17:02:15,0
43,2019-06-03 09:00:43,0,43,2019-06-03 09:00:43,0,SCHEDULED,8129,13,157,2019-06-03 17:02:15,0
81,2019-06-03 09:35:21,0,81,2019-06-03 09:35:21,0,SCHEDULED,8100,13,38,2019-06-03 17:02:15,0
73,2019-06-03 10:05:13,0,73,2019-06-03 10:05:13,0,SCHEDULED,8129,13,169,2019-06-03 17:02:15,0
21,2019-06-03 10:34:21,0,21,2019-06-03 10:34:21,0,SCHEDULED,8100,13,48,2019-06-03 17:02:15,0
